,Brand Name
550,B’Airie Beauty
551,Baja Baby
552,Bakel
553,Balance Organically
554,Balanced Guru
555,Balea
556,Balenciaga
557,Bali Body
558,Bali Boo
559,Bali Secrets
560,Balmy
561,Bambini Furtuna
562,Bamboo Smiles
563,Bambu 7 Soap Co.
564,@BambuuBrush
565,BANBU – Zero Waste Brand
566,Band-Aid (Johnson & Johnson)
567,BANDI Cosmetics
568,Banjara’s
569,Baproy Bitkisel
570,BAR NONE
571,Bar Raw Beauty
572,Bara Cosmetics
573,Bardot Vegan Beauty
574,Bare Anatomy
575,Bare Bones Body Care
576,Bare English & Co.
577,Bare Necessities
578,Bare Organics
579,Bare Pits
580,Bare Republic
581,Bare Skin Bar
582,BareEarth
583,BareFace Cosmetics
584,Barefaced Beauty
585,Barefruit
586,bareMinerals
587,Bariani Body Care Products
588,Barkz
589,Baron Bishop Parfums
590,Baron Bright
591,Barony Beauty
592,Barr
593,BARREL AND OAK (Designworks Investments)
594,Barrier Body Wash
595,BARRY M
596,Bartholomew Sisters
597,Bartpracht
598,Base Beauté
599,Base Coat
600,BASE LAB
601,Base Skin
602,Baseblue Cosmetics
603,Bashía Cosmetics
604,basic
605,Basic Beauty
606,Basic Ink
607,Basic Vigor Nutraceuticals
608,Basin
609,Bath & Body Works (L Brands)
610,Bath By Bettijo
611,Bath Haus Body Pty Ltd
612,Bath Island
613,"Bath Petals, Inc."
614,Battle Green
615,BATTUS
616,Baudelaire
617,Baumebastic
618,Bausch + Lomb (Valeant Pharmaceuticals)
619,Bawaw
620,baybies
621,Bayla Skin
622,Baylis & Harding
623,BayWest Skincare
624,BB Lifestyle LLC
625,bBold
626,Be A Bombshell Cosmetics
627,Be at One
628,Be Aurora
629,Be-blum
630,be Chom Chom Rusgrin LLC
631,Be Green Bath and Body
632,be green – be better
633,Be Humane
634,Be Kashvi
635,Be Natural Cosmetics
636,Be Natural Organics
637,Be. On Vegan
638,Be Simple
639,be tanics
640,Be Well Company
641,Beach House Group
642,Beach Organics Skin Care
643,Beach Street
644,Beany
645,Bearded Coast
646,Beaubble
647,"Beaumont Products, Inc."
648,Beautaniq Beauty
649,BEAUT.E
650,Beaute Affair
651,Beauté Wise
652,Beautenotions
653,Beautifek
654,Beautiful Earth
655,Beautiful Movements Cosmetics
656,Beautiful Souls Aligned
657,Beautiful Wish
658,BEAUTIFULSCENTS
659,Beautisol
660,Beauts
661,Beauty 21 Cosmetics
662,Beauty 4 Fun
663,Beauty Bakerie Cosmetics
664,Beauty Bay
665,Beauty Bliss Cosmetics
666,Beauty Brand X
667,Beauty By Stony
668,Beauty Concept
669,Beauty Creations
670,Beauty Disrupted
671,BEAUTY DREAMS COSMETIC SERVICES
672,Beauty Foot Cosmetic
673,Beauty For Real
674,Beauty Glam
675,Beauty Icon Cosmetics
676,Beauty in the RAW
677,Beauty Influence Brands
678,BEAUTY-K
679,Beauty & More (NTS İÇ VE DIŞ TİCARET ITRİYAT SANAYİ ANONİM ŞİRKETİ)
680,BEAUTY OF JOSEON
681,Beauty Perspectives
682,Beauty Pie
683,"Beauty Plus Global, Inc."
684,Beauty Pro
685,Beauty Quest Group
686,Beauty Sanctuary Cosmetics
687,Beauty Science UK
688,Beauty Society
689,BEAUTY TOOLS (Empresas DBS)
690,Beauty Treats
691,Beauty Without Cruelty Products for North American Customers
692,"Beauty Without Cruelty (UK, Europe, & Rest of World)"
693,BeautyBio
694,beautyblender®
695,BEAUTYCOLOR (Bonyplus Cosmetics Industry)
696,BEAUTYLOPE Pure & Vegan Halal Cosmetics
697,BeautyRx
698,BeautySoClean
699,BEB Organic
700,BeBella
701,beBIO
702,Because Animals
703,Bedenno
704,Bedrock and Bloom
705,Bee Beauty (Gratis)
706,BEE-OCH Organics
707,BEECAUSE
708,Beecology
709,Beefayre
710,BeeFriendly Skincare
711,Beekman 1802
712,Bees Brilliance
713,Beesline
714,BeeSweet LipBalm
715,Beettan
716,BEEVIBE LAB
717,Beiersdorf
718,Being Frenshe Hair Wellness
719,Being Frenshe (Maesa)
720,BEL Corporation
721,BELA BERE VIEIRA CARDOSO COSMETICOS
722,Belegenza
723,Beleza Naturais
724,Belflora
725,Belico
726,Believe
727,Bell
728,Bella & Bear
729,Bella Forever
730,Bella Jane Organics
731,Bella Lina Bath
732,Bella Luccè
733,Bella Michelle
734,Bella Organics
735,Bella Skin Boutique
736,Bella Vi
737,Bellabaci
738,Bellami
739,Bellamianta
740,Bellaroma
741,Bella’s Luvbar Butter
742,Bellati Naturals
743,belle & bianca
744,Bellemer Laboratory
745,Belle’s Botanicals
746,Bello Cosmetics
747,BEMYFLOWER
748,Ben & Anna
749,Benecos (Cosmondial)
750,Benefit Cosmetics
751,Benevo
752,Benevolent Skin
753,BENGAY (Johnson & Johnson)
754,Benton
755,Bergamia
756,Berry Be Beauty
757,Bésame Cosmetics
758,Besiata Beauty
759,Besix
760,Bespoke Europe
761,Bestowed Essentials
762,BeSweet Creations
763,Bétèrre Skin+Care
764,Better Nature
765,Better-Natured
766,Bettina Cosmetics
767,Bex Beauty
768,Beyer & Söhne
769,Beyond Cosmetics
770,Beyond Nutrition
771,Beyond Resilience
772,BH Cosmetics
773,bhab (YULAO)
774,B&Heal
775,Bhumi Makeup Brushes
776,Bia
777,Biblian (Beautynk)
778,Bic Corporation
779,BIDALLI BEAUTY
780,BIECHO Seoul
781,Bielenda
782,Biggs & Featherbelle
783,Biimil Body Skincare
784,BIKAR ALAM
785,Billbergia Nature Products LLP
786,BILLIE
787,Billy Jealousy
788,Bingo Cosmetic Manufacture Ltd.
789,Bio Creative Labs
790,Bio Ionic (BBI)
791,Bio-Kleen
792,Bio Pac
793,Bio Radiata
794,Bio Sakure
795,Bio-T
796,Bio Takara
797,Bio-Therapeutic
798,BioBella
799,BIOBRANDS
800,BioClarity (Adigica Health)
801,Biocoiff
802,BIOCOS INC
803,Biocosmética Jénak Chile
804,BIODERMA
805,Bioetyc
806,Biofilia
807,Biogar
808,Biogen Biotics
809,"Biogime International, Inc."
810,Biokleen
811,Bioland
812,Biolao Cosmetics
813,Bioleila Cosmeticos
814,biolys
815,BIOMADIKA – AROMADI KA
816,BioMakeup
817,bio:me (Unilever)
818,Bionova
819,Biophile
820,Bior Organics
821,Bioreline
822,Biorenda
823,biOrganics
824,Bioscalp London
825,Biosecrets
826,Bioskin
827,Biosol Tech Corp
828,Biospen
829,Biossance
830,BiotechBeauty
831,Biotene (GlaxoSmithKline)
832,Biotera (Henkel)
833,BioTerra
834,BIOTHECARY
835,Biotherm (L’Oreal)
836,Biotie
837,Biotone
838,Biotonique
839,Biotop Professionals Products
840,Biotulin
841,BIOTURM
842,Biovaj
843,Biovene Cosmetics
844,Biozenthi
845,BIRCH LIP BALM
846,Birch3
847,BIRCHROSE + CO
848,Birdbath
849,BIRKENSPANNER (Biocraft Naturprodukte GmbH)
850,Birthstone Scents
851,Bishop Botanicals
852,Bisou Bisou Skin
853,Bissell
854,Bite Beauty
855,Bite Toothpaste Bits
856,BIW BIW
857,Black Chicken Remedies
858,Black Country Balsam
859,Black Dahlia
860,Black Girl Sunscreen
861,Black Label Cosmetics
862,Black Magic Concepts
863,Black Moon Cosmetics
864,Black Radiance
865,Black Robin
866,Black Sheep Organics
867,Black Tai Salt Company
868,Black Tie Cosmetics
869,Blackwood™ For Men
870,BLANK
871,BLANLAC
872,Blaq
873,BLATTKULTUR
874,Bleach London
875,Blend14
876,Blessed Beauty
877,Blessed Projects
878,Blessure Serum
879,Bleu Lavande
880,blinc
881,Blind Fragrances
882,Bliss
883,Bliss Delights
884,bliss of earth
885,Bliss of Greece
886,Blissby
887,Blissful Essentia
888,Blissoma
889,blk Cosmetics
890,BLOCALLY
891,BLONDME (Henkel)
892,Bloom
893,Bloom and Blossom
894,"Bloom Bioscience, Inc"
895,BLOOM UP (PT. Ritual Mahakarya Cosmetica)
896,BloomCoast
897,Blooming Lotus
898,Bloomtown
899,Blossom & Leaf Soap Emporium
900,Blu Ink Nail Lacquer
901,BLUE AYA (Naza Rio)
902,Blue Beautifly
903,Blue Buffalo
904,Blue Moon Candles
905,Blue Rose Dermocosmeticos
906,Bluerock
907,Blueseeds
908,BLUESKY Nails
909,Bluety
910,BluLyte
911,Blum Organics
912,Blur London
913,Blush Artisan Cosmetics
914,BlushBee Organic Beauty
915,Blushed by Blush Bar
916,Blushed by Vicki
917,BM Beauty / BM Skin
918,Bo Buggles
919,BO Cosméticos
920,Bo-Po Nailpolish (Worx Toys)
921,Bo Stegall
922,BOB Inc.
923,Bobbi Brown (Estee Lauder)
924,Bob’s Red Mill
925,Boca Rosa Company
926,BOD Man
927,Bodhi + Sol
928,bodisafe beauty(Garden Art Innovations)
929,BODIWERK
930,Bods + Bubs
931,Body B Beautiful
932,Body Be Silk
933,Body Bistro
934,BODY BY BELLA
935,Body Collection
936,"Body Crystal, Inc."
937,Body Essence
938,Body & Face St Cyrus
939,Body Fantasies
940,Body Scentsations
941,Body4Real
942,Bodyceuticals Organic Bodycare
943,bodycology
944,Bodyenrich
945,BodyHonee
946,bodynew
947,Bodyography (Robanda International)
948,Boeccure
949,Bohemian Plant Based Products
950,Boka
951,Bold For Men
952,Bold Uniq
953,Boldface Makeup
954,Boldify
955,Bolena Fx
956,Bolero
957,Bolt Beauty Limited
958,Bomba Curls
959,Bombom
960,Bon Ami/Faultless Starch
961,BONA FIDE beauty lab
962,Bonbodi
963,Bonbon
964,Bondi Sands
965,BondiBoost
966,BondiChic
967,Bonita Cosmetics (NONO Cosmetics)
968,Bonivias
969,Bonji
970,Boo Bamboo
971,Booda Organics
972,BOOM by Cindy Joseph
973,Boombrush
974,booni doon
975,Boosh
976,Bootiful Anti-Cellulite Firming Cream (KOZMOKLINIK KOZMETIK)
977,Bophie
978,Born Biotics
979,Born Skincare
980,Borneo Candle Studio
981,Boscia
982,Bosley
983,BosleyMD
984,Boss Lady Cosmetics
985,Bossy Cosmetics
986,Boston Baked Bonz
987,Boston Creations
988,Botani
989,BOTANIC HEARTH COSMECEUTICALS
990,BOTANICA AUREA
991,Botanica Skn
992,Botanical Republic
993,Botanical Skin Works
994,Botanicala
995,Botanicary
996,Botanie Soap
997,Botanii Organic
998,Botanika
999,botanik cosmetica natural
1000,SkinLabo
1001,ОгgапiсаLiЬrа
1002,100% Pure
1003,1121 Apothecary
1004,12 Grabs
1005,Lisa Harris Skin Science
1006,123 Nourish Me
1007,180 Innovations
1008,SanMelix Laboratories
1009,19th Volume Cosmetics Corp.
1010,1KOMMA8
1011,nutri +
1012,23Beauty Paris
1013,24K Cosmetics
1014,28 Day Skin (HarJam Innovations Ltd)
1015,28 Litsea
1016,2E Nail Supply
1017,2kcommerce
1018,2nd Love Cosmetics
1019,2SHERO KOZMETIK IMALAT TIC
1020,305 Care
1021,3107 Skincare
1022,3INA
1023,3M
1024,4EVER MAGIC COSMETICS
1025,4organic
1026,4ourclimate
1027,4peoplewhocare UG
1028,5 Star Shave Club
1029,66°30
1030,6th Floor Beauty
1031,707 Flora
1032,786 Cosmetics
1033,7elements
1034,82°E (DPKA UNIVERSAL CONSUMER VENTURES PRIVATE LIMITED)
1035,8Greens
1036,A Good Fur Day
1037,A.P. CHEM
1038,A Perfume Organic
1039,A Touch of Class Beauty
1040,A Wild Soap Bar
1041,A2V
1042,Aaryanveda
1043,ABATURE
1044,Abbott
1045,ABBY & FINN
1046,Abby Rose Skin Care
1047,Abel Fragrance
1048,ABELA
1049,Abercrombie & Fitch
1050,Abhati Suisse
1051,Abicì
1052,Able Skincare
1053,Keravie Lash Loft
1054,Abloom Skin Care
1055,about-face
1056,About Me
1057,About Time We Met
1058,aboutface
1059,Abra Therapeutics
1060,ABRIGA
1061,Absolute Green
1062,Absolute Miracle
1063,Absolute New York
1064,Absolute Soap (Product Body)
1065,Abstrax Labs
1066,Abura Cosmetics
1067,Abyssal Japan Co.
1068,abyssian
1069,ACE (BBI)
1070,Ace Beaute Cosmetics
1071,Acherontia
1072,Acmer
1073,Act Of Being (Epic Beauty Brands)
1074,actiMare
1075,Actium Plus
1076,Active Concepts
1077,Active Micro Technologies
1078,ACTIVE NINE
1079,Active Organic
1080,Active Silver
1081,ACTIVOSCOSMETICOS
1082,Acure (Better Planet Brands)
1083,Acuvue (Johnson & Johnson)
1084,ADA TINA Cosméticos
1085,Adams Handmade Soap
1086,ADC Hounstone & Co.
1087,Adcos
1088,AddictaLash
1089,Adélie et Cie
1090,Adelinda Cosmética Natural
1091,Adept Cosmetics
1092,aDesign
1093,Adessa
1094,Adesse New York
1095,Adezzo Beauty
1096,Adhome Co.
1097,ADOREYES
1098,Adorn Cosmetics
1099,ADVANAGE Diversified Products
1100,Adversa
1101,AdvoCANNA
1102,AEGIS PHARMA
1103,AER
1104,Aesop
1105,Aesthetica Cosmetics
1106,ATHR Beauty
1107,af94
1108,Afari Skincare
1109,AFETO NATURAL
1110,Affinage Professional
1111,Affordable Mineral Makeup
1112,AFFOREST GREEN BEAUTY
1113,"After Inked, LLC"
1114,Afterglow Cosmetics
1115,AG Care
1116,Agape Key All Natural Products
1117,Agave
1118,Age Attraction Kosmetik
1119,Agent Nateur
1120,Agera Biotech
1121,Aggi Natural Beauty
1122,Agilise Cosméticos
1123,Agnes dos Santos
1124,Agua de Nube
1125,Aguaymanto
1126,Ahal (Laboratorio Biocosmética S.A. de C.V.)
1127,AHAVA Dead Sea Laboratories Ltd.
1128,Ahé Naturals
1129,Ahimsa Essentials
1130,Ahimsa Haircare
1131,Ahura New York
1132,AIKA WELLNESS
1133,Aim (Church & Dwight)
1134,Aim HI Every Day
1135,Aimée de Mars
1136,Aimeili Gel Polish
1137,Ainterol Natural Products
1138,Air Wick (Reckitt Benckiser)
1139,Airelle Skincare
1140,Airnex
1141,AJ Nails Collection
1142,AJANANTA RETAIL
1143,AKA Cosmetic
1144,Akahi Enterprise
1145,Akasa Elements
1146,Aki Lashes
1147,Akita Brands
1148,AKS  KOZMETIK KIMYA TIC. LTD. STI
1149,AKSAN KOZMETIK
1150,AKT London
1151,Akten Kozmetik San. Paz. A.Ş
1152,Alamar Cosmetics
1153,Alba® 1913
1154,Alba Beauty
1155,Alba Botanica (Hain Celestial)
1156,Albaad
1157,Alchemy Holistics
1158,Alchemy Oils
1159,Alchimie Forever
1160,"Adli Gummies, d/o/b Imaraïs Beauty"
1161,Aleph Beauty
1162,Alexa Persico Cosmetics
1163,Alexami Cosmetics
1164,Alexis Vogel
1165,Algenist
1166,ALIDA PURE
1167,Alighten Natural Skin Care
1168,Alimeri
1169,Alison Asia Pacific
1170,ALKAGLAM
1171,Alkemie
1172,All About Curls
1173,All About Good Vibes
1174,All Care Products
1175,All Golden
1176,All Good Scents
1177,"All-Nutrient (Chuckles, Inc.)"
1178,All Terrain
1179,allBambu
1180,Allegresse 24K Skincare
1181,Allens Naturally
1182,Alleyoop
1183,Allez Outdoor
1184,Allies of Skin
1185,AllMyFy
1186,ALLOYANatural
1187,AllSan
